number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
2260	Стивенсон Р.	Катриона	NA	1893	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Лисянский В.Ю.	Воспоминания	Калуга	2003	2003	1940	1940	Харьков, пересыльная тюрьма Холодная горка	Топограф	asfcd/auth/?t=book&num=1450
575	Стивенсон Р.	Остров сокровищ	NA	1883	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Ирани Б.	Потеряв всякую самостоятельность, свободу, имя, я в конце концов стал простым номером О-159 – презренным рабом	Москва	2005	2005	1945	1955	Донбасс, Карелия, Медвежьегорск, Красноярск, Норильск, Кайеркан, Тайшет	Студент юрфака	asfcd/auth/?t=page&num=11
2164	Стивенсон Р.	Остров сокровищ	NA	1883	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Заключенный	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1951	Свердловск, тюрьма	NA	asfcd/auth/?t=page&num=8342
2263	Стивенсон Р.	Остров сокровищ	NA	1883	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Лисянский В.Ю.	Воспоминания	Калуга	2003	2003	1940	1940	Харьков, пересыльная тюрьма Холодная горка	Топограф	asfcd/auth/?t=book&num=1450
2269	Стивенсон Р.	Черная стрела	NA	1888	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Лисянский В.Ю.	Воспоминания	Калуга	2003	2003	1940	1940	Харьков, пересыльная тюрьма Холодная горка	Топограф	asfcd/auth/?t=book&num=1450
1483	Стрельников Н.	Холопка	NA	1929	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Афанасьев М.	Тяжелый путь полярной дороги	Москва	2007	2007	1950	1951	Тюменская обл., пос. Ермаково	NA	asfcd/auth/?t=page&num=6043
187	Стрельников Н.	Холопка	NA	1929	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Лещенко-Сухомлина Т.И.	Из воспоминаний Моя гитара	Москва	1989	1989	1948	1956	Воркута, театр	Актриса, переводчик, автор и исполнитель песен	asfcd/auth/?t=book&num=775
1922	Суриков И.З.	Казнь Стеньки Разина	NA	1877	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Ефимов И.И.	Не сотвори себе кумира	Ленинград	1990	1990	1937	1938	Старая Русса, тюрьма	Крестьянин	asfcd/auth/?t=page&num=9771
2443	Суриков И.З.	Степь да степь кругом...	Народная Песня	1877	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенная	Адамова-Слиозберг О.Л.	Путь	Москва	1993	1993	1939	1939	Колыма, этап	NA	asfcd/auth/?t=page&num=3182
1013	Суриков И.З.	Что стоишь, качаясь, тонкая рябина..	Народная Песня	1864	Цитируют	песня	русский	пение блатными	блатной	заключенный, блатной	в тюремной камере	FALSE	Заключенный	Горчаков Г.Н.	Л- I -105 : Воспоминания	Иерусалим	1995	1995	1944	1944	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=page&num=7331
1507	Сурков А.	Бьется в тесной печурке огонь	NA	1941	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	на поселении	FALSE	Заключенные	Эйзенбергер А.И.	Если не выскажусь - задохнусь!	Москва	1994	1994	1943	1943	Пермская обл., пос. Гремячинск	Доброволец, переводчик с немецкого	asfcd/auth/?num=2052&t=page
1508	Сурков А.	Бьется в тесной печурке огонь	NA	1941	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	на поселении	FALSE	Заключенный	Эйзенбергер А.И.	Если не выскажусь - задохнусь!	Москва	1994	1994	1943	1943	Пермская обл., пос. Гремячинск	Доброволец, переводчик с немецкого	asfcd/auth/?num=2052&t=page
547	Сурков А.	Песня о Сталине (На просторах родины чудесной...)	NA	1938	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Брухис Л.И.	Чужой спектакль: книга воспоминаний	Рига	1990	1990	1943	1950	Комсомольск-на-Амуре, лагерь	NA	asfcd/auth/?t=page&num=11421
1599	Сухово-Кобылин А.В.	Свадьба Кречинского	NA	1856	Пересказывают и цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Боровский О.Б.	Рентген сторого режима	Москва	2009	2009	1949	1951	Воркута, Речлаг	NA	asfcd/auth/?num=13210&t=page
1883	Сухово-Кобылин А.В.	Свадьба Кречинского	NA	1856	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Чирков Ю.И.	А было всё так…	Москва	1991	1991	1935	1938	Соловецкий лагерь	Режиссер	asfcd/auth/?t=page&num=2377
1730	Тагор Р.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Ссыльная	Рацевич С.В.	Глазами журналиста и актера	Нарва	2005	2005	1949	1950	Сибирь, лагерь	Ветеринар	asfcd/auth/?t=page&num=5048
1193	Такубоку И.	NA	NA	NA	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Помазов В.В.	На меня направлен сумрак ночи	Москва	2013	2013	1971	1971	Нижегородская обл., лагерь в п. Шерстки	Историк	asfcd/auth/?t=page&num=13245
935	Талейран-Перегор Ш.М.	NA	NA	NA	Цитируют	проза	французский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Заключенный	Козюра В.В.	Путешествие с образовательной целью	Харьков	2004	2004	1964	1971	Мордовские лагеря	NA	asfcd/auth/?t=page&num=11594
824	Твардовский А.Т.	Баллада о товарище	NA	1942	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Ратушная Л.П.	Этюды о Колымских днях	Екатеринбург	1999	1999	1950	1951	Магадан, пересыльная тюрьма	NA	asfcd/auth/?t=page&num=13128
1308	Твардовский А.Т.	Василий Теркин	NA	1942	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Коган М.И.	Исповедь строптивого адвоката	Москва	2002	2002	1945	1948	Ховрино, ОЛП №1	Адвокат	asfcd/auth/?t=page&num=8286
1748	Твардовский А.Т.	Василий Теркин	NA	1942	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Польская Е.Б.	Это мы, Господи, пред Тобою…	Невинномысск	1998	1998	1949	1952	Новосибирская обл., Кемеровская обл., Сиблаг	Актриса	asfcd/auth/?t=page&num=795
379	Твардовский А.Т.	Василий Теркин	NA	1942	Пересказывают	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=5048
308	Твардовский А.Т.	Василий Теркин	NA	1942	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Габай И.Я.	Выбранные места	Москва	1994	1994	1970	1970	Кемеровская обл., лагерь	Педагог, поэт	asfcd/auth/?t=page&num=6852
1622	Твардовский А.Т.	Девочка	NA	1942	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Сац Н.И.	Жизнь - явление полосатое	Москва	1991	1991	1940	1941	Ярославская обл., Рыблаг	NA	asfcd/auth/?t=page&num=11343
1623	Твардовский А.Т.	Отец и сын	NA	1943	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Сац Н.И.	Жизнь - явление полосатое	Москва	1991	1991	1940	1941	Ярославская обл., Рыблаг	NA	asfcd/auth/?t=page&num=11343
313	Твардовский А.Т.	Я знаю, никакой моей вины	NA	1966	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Габай И.Я.	Выбранные места	Москва	1994	1994	1971	1971	Кемеровская обл., лагерь	Педагог, поэт	asfcd/auth/?t=page&num=6852
543	Твардовский А.Т.	NA	NA	NA	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Рачков П.А.	За Вороньим царством; Друг мой северный: Повести	Владимир	1992	1992	1952	1952	Коми, Кочмес	Писатель и поэт	asfcd/auth/?t=book&num=1176
2162	Твен М.	Банкнота в миллион фунтов/Банковский билет в миллион фунтов стерлингов	NA	1893	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Автор мемуаров	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1951	Свердловск, тюрьма	Преподаватель	asfcd/auth/?t=page&num=8342
2165	Твен М.	Принц и нищий	NA	1881	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Заключенный	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1951	Свердловск, тюрьма	NA	asfcd/auth/?t=page&num=8342
130	Твен М.	Принц и нищий	NA	1881	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Иоффе М.М.	Одна ночь: Повесть о правде	Нью-Йорк	1978	1978	1936	1941	Воркута, Воркутлаг	Редактор	asfcd/auth/?t=book&num=674
214	Твен М.	Принц и нищий	NA	1881	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1945	1948	Иркутская область, Александровский централ	Актер, театровед, литератор	asfcd/auth/?t=page&num=12808
2167	Твен М.	NA	NA	NA	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Заключенный	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1951	Свердловск, тюрьма	NA	asfcd/auth/?t=page&num=8342
606	Твен М.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Рабинович М.Б.	Воспоминания долгой жизни	Санкт-Петербург	1996	1996	1949	1949	Ленинград, Кресты	Историк	asfcd/auth/?t=page&num=1384
2118	Теккерей У.М.	Ярмарка тщеславия	NA	1848	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Афанасова (Колюбакина) Н.А.	Жизненный путь	Санкт-Петербург	2005	2005	1938	1938	Ленинград, тюрьма на Шпалерной	Студент, делопроизводитель	asfcd/auth/?t=page&num=1083
1802	Террайль П.-А. дю	Молодость Генриха IV	Молодость короля Генриха IV	1864	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Чирков Ю.И.	А было всё так…	Москва	1991	1991	1935	1938	Соловецкий лагерь	Метеоролог	asfcd/auth/?t=page&num=2377
1803	Террайль П.-А. дю	Цареубийца	NA	1864	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Чирков Ю.И.	А было всё так…	Москва	1991	1991	1935	1938	Соловецкий лагерь	Метеоролог	asfcd/auth/?t=page&num=2377
1367	Тихомиров Р.И., Фогельсон С.Б.	Ария из оперетты Баядерка	Народная Песня	1923	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Аббас-Оглы А.Ш.	Не могу забыть	Москва	2005	2005	1939	1940	Тбилиси, Орточальская тюрьма	Вор	asfcd/auth/?t=page&num=2417
585	Тихонов Н.	Слово о 28 гвардейцах	NA	1942	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Ратушная Л.П.	Этюды о Колымских днях	Екатеринбург	1999	1999	1951	1952	Колыма, г. Усть-Омчуг	NA	asfcd/auth/?t=page&num=13128
787	Толстой А.К.	Боривой	NA	1870	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Чернова-Андреева О.В.	Холодная весна	Санкт-Петербург	2001	2001	1920	1920	Москва, Лубянская тюрьма	NA	asfcd/auth/?t=page&num=8364
219	Толстой А.К.	Василий Шибанов	NA	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1945	1948	Иркутская область, Александровский централ	Актер, театровед, литератор	asfcd/auth/?t=page&num=12808
788	Толстой А.К.	Василий Шибанов	NA	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Родственник автора	Чернова-Андреева О.В.	Холодная весна	Санкт-Петербург	2001	2001	1920	1920	Москва, Лубянская тюрьма	NA	asfcd/auth/?t=page&num=8364
2116	Толстой А.К.	Василий Шибанов	NA	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Ясевич О.И.	Из воспоминаний	Москва, Нью-Йорк	1976	1978	1929	1929	Ленинград, тюрьма на Шпалерной	Педагог	asfcd/auth/?t=page&num=13198
1517	Толстой А.К.	Змей Тугарин	NA	1867	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Гаген-Торн Н.И.	Memoria	Москва	1994	1994	1948	1953	Мордовия, Потьма, Явас	Этнограф	asfcd/auth/?t=page&num=484
828	Толстой А.К.	Иоанн Дамаскин	NA	1859	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Трапани Н.В.	Епископ Афанасий (Сахаров):(Воспоминания)	Москва	2000	2000	1944	1944	Мариинск, лагерь	Епископ	asfcd/auth/?t=page&num=1391
2493	Толстой А.К.	История государства Российского от Гостомысла до Тимашева	NA	1868	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Гаген-Торн Н.И.	Носова О.П.	В объятиях удава: воспоминания узницы ГУЛАГа	Санкт-Петербург	2001	2001	1949	1949	Мордовия, Явас	Этнограф, историк	asfcd/auth/?t=page&num=7323
2486	Толстой А.К.	История государства Российского от Гостомысла до Тимашева	NA	1868	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Носова О.П.	В объятиях удава: Воспоминания узницы ГУЛАга	Санкт-Петербург	2001	2001	1948	1950	Мордовия, Явас	Преподаватель и руководитель каунасских бейтаровцев	asfcd/auth/?t=page&num=7323
853	Толстой А.К.	История государства Российского от Гостомысла до Тимашева	NA	1868	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Солоневич И.Л.	Россия в концлагере	Москва	1999	1999	1934	1934	Медвежья гора, Беломорско-Балтийский лагерь	Общественный деятель	asfcd/auth/?t=page&num=12362
789	Толстой А.К.	Князь Ростислав	NA	1856	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Чернова-Андреева О.В.	Холодная весна	Санкт-Петербург	2001	2001	1920	1920	Москва, Лубянская тюрьма	NA	asfcd/auth/?t=page&num=8364
2159	Толстой А.К.	Князь Серебряный	NA	1861	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1944	1944	Киров, тюрьма	Актер, театровед, литератор	asfcd/auth/?t=page&num=12795
209	Толстой А.К.	Князь Серебряный	NA	1861	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	TRUE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1945	1948	Иркутская область, Александровский централ	Актер, театровед, литератор	asfcd/auth/?t=page&num=12808
1220	Толстой А.К.	Князь Серебряный	NA	1861	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Одолинская Н.Ф.	Советские каторжанки	Одесса	1998	1998	1946	1948	Норильск	Инженер	asfcd/auth/?t=page&num=7805
1987	Толстой А.К.	Колодники	Народная Песня	1854	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1950	1950	Иркутская обл., Тайшетлаг	NA	asfcd/auth/?t=book&num=1072
2129	Толстой А.К.	Колодники	Народная Песня	1854	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Самсонов В.А.	Жизнь продолжится	Петрозаводск	1990	1990	1937	1937	Петрозаводск, тюрьма при НКВД	NA	asfcd/auth/?t=page&num=5968
2411	Толстой А.К.	Колодники	Народная Песня	1854	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенные	Фудель С.И.	Воспоминания	Москва	2001	2001	1923	1923	Коми, Усть-Сысольск, этап	Эсеры	asfcd/auth/?t=page&num=958
1058	Толстой А.К.	Колодники	Народная Песня	1854	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Яроцкий А.С.	Золотая Колыма	Железнодорожный	2003	2003	1936	1936	Москва, Бутырская тюрьма	Матрос	asfcd/auth/?t=book&num=1809
1518	Толстой А.К.	Колокольчики мои...	NA	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Гаген-Торн Н.И.	Memoria	Москва	1994	1994	1948	1953	Мордовия, Потьма, Явас	Этнограф	asfcd/auth/?t=page&num=484
1521	Толстой А.К.	Песня о Гаральде и Ярославне	NA	1869	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Гаген-Торн Н.И.	Memoria	Москва	1994	1994	1948	1953	Мордовия, Потьма, Явас	Этнограф	asfcd/auth/?t=page&num=484
794	Толстой А.К.	Садко	NA	1873	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Чернова-Андреева О.В.	Холодная весна	Санкт-Петербург	2001	2001	1920	1920	Москва, Лубянская тюрьма	NA	asfcd/auth/?t=page&num=8364
1052	Толстой А.К.	Сон Попова	NA	1878	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Федин Э.И.	Филин на развалинах	Санкт-Петербург	2000	2000	1949	1949	Москва, Бутырская тюрьма	Комкор, бывший парторг наркомата обороны	asfcd/auth/?t=page&num=11919
1496	Толстой А.К.	Средь шумного бала, случайно...	NA	1851	Цитируют	стихи	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Керсновская Е.А.	Сколько стоит человек: повесть о пережитом	Москва	2000	2000	1941	1941	Томская обл., пос.Суйга	Писательница	asfcd/auth/?t=book&num=1708
1520	Толстой А.К.	Ты знаешь край, где все обильем дышит…	NA	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Гаген-Торн Н.И.	Memoria	Москва	1994	1994	1948	1953	Мордовия, Потьма, Явас	Этнограф	asfcd/auth/?t=page&num=484
2204	Толстой А.К.	Ты знаешь край, где все обильем дышит…	Я знаю край, где все обильем дышит…	1840	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	у костра	FALSE	Заключенный	Разгон Л.Э.	Плен в своем отечестве	Москва	1994	1994	1942	1942	Коми, Устьвымлаг	NA	asfcd/auth/?t=book&num=126
2331	Толстой А.Н.	Аэлита	NA	1922	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Заключенная	Воронская Г.А. (Нурмина Г.)	На дальнем прииске	Магадан	1992	1992	1937	1937	Магаданская обл., Эльген	NA	asfcd/auth/?t=page&num=8726
376	Толстой А.Н.	Нечистая сила	NA	1916	Пересказывают	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=5046
1087	Толстой А.Н.	Хлеб	NA	1937	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Федин Э.И.	Филин на развалинах	Санкт-Петербург	2000	2000	1949	1949	Москва, Бутырская тюрьма	Физик и комкор	asfcd/auth/?t=page&num=11919
252	Толстой Л.Н.	Анна Каренина	NA	1877	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Заключенный	Сомов Е.	Обыкновенная история в необыкновенной стране	Санкт-Петербург	2001	2001	1944	1944	Караганда, Карлаг	Химик	asfcd/auth/?t=book&num=754
1726	Толстой Л.Н.	Анна Каренина	NA	1877	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Фишер Х.	В нашей жизни много раз - так трудно ещё не было	Москва	1989	1989	1941	1946	Коми, лагерь	Преподаватель и руководитель каунасских бейтаровцев	asfcd/auth/?t=page&num=450
2104	Толстой Л.Н.	Анна Каренина	NA	1877	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Афанасова (Колюбакина) Н.А.	Жизненный путь	Санкт-Петербург	2005	2005	1938	1938	Ленинград, тюрьма на Шпалерной	Врач	asfcd/auth/?t=page&num=1083
529	Толстой Л.Н.	Анна Каренина	Свидание Анны с сыном	1877	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Войтоловская А.Л.	По следам судьбы моего поколения	Сыктывкар	1991	1991	1938	1939	Коми, Кочмес	Радиоведущая	asfcd/auth/?t=book&num=862
1954	Толстой Л.Н.	Анна Каренина	NA	1877	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Мирек А.М.	Тюремный реквием: Записки заключённого	Москва	1997	1997	1943	1943	Нижегородская обл., Сухобезводная	Профессор, преподаватель истории и теории музыки	asfcd/auth/?t=page&num=4259
236	Толстой Л.Н.	Анна Каренина	NA	1877	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Степанова-Ключникова Г.Е.	Казахстанский Алжир	Москва; Астана	2003	2003	1938	1938	Казахская ССР, Карагандинская обл., Акмолинский лагерь, Карлаг	Актриса	asfcd/auth/?t=page&num=7880
171	Толстой Л.Н.	Анна Каренина	NA	1877	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Янов В.В.	Краткие воспоминания о пережитом // Воспоминания крестьян-толстовцев, 1910–1930-е годы	Москва	1989	1989	1935	1936	Воркута, Заполярная тюрьма, камера смертников	Рабочий, эсер	asfcd/auth/?t=page&num=2363
1693	Толстой Л.Н.	Анна Каренина	NA	1877	Цитируют	проза	русский	рассказ сотрудника внутренних органов заключенному	сотрудник внутренних органов	заключенный	в лагере	FALSE	Заключенный	Солоневич И.Л.	Россия в концлагере	Москва	1999	1999	1934	1934	Ленинградская обл., Свирьлаг	Начальник лагерного ГПУ	asfcd/auth/?t=page&num=12328
970	Толстой Л.Н.	Анна Каренина	NA	1877	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Мелентьев М.М.	Мой час и мое время: Книга воспоминаний	Санкт-Петербург	2001	2001	1933	1933	Москва, Бутырская тюрьма	Врач	asfcd/auth/?t=page&num=6120
590	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Заключенный	Сулимов И.Н.	Эхо прожитых лет, или Воспоминания о Воркутлаге	Одесса	1997	1997	1937	1937	Воркута, лагпункт Рудник	Геолог	asfcd/auth/?t=page&num=6946
1698	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Гачев Г.Д.	Воспамятование об отцах	Москва	1989	1989	1943	1943	Магадан, Оротукан	NA	asfcd/auth/?t=page&num=4657
1091	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Ефимова И. А.	Ничего не забывается	Москва	1991	1991	1938	1938	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=book&num=306
1011	Толстой Л.Н.	Война и мир	NA	1869	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Ларина А.М.	Незабываемое	Москва	1989	1989	1941	1941	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=page&num=2387
1101	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Ларина А.М.	Незабываемое	Москва	1989	1989	1941	1941	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=page&num=2387
127	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Маркова Е.В.	Воркутинские заметки каторжанки Е-105	Сыктывкар	2005	2005	1944	1944	Воркута, Воркутлаг	Доктор технических наук	asfcd/auth/?t=page&num=10616
2172	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенная	Марченко З.Д.	Семнадцать лет на островах ГУЛАГа	Москва	1999	1999	1949	1949	Харьков, Куйбышев, тюрьма	Стенографистка, экономист	asfcd/auth/?t=page&num=11648
1616	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Фуфрянский Н.А.	Думы о прошлом	Москва	1991	1991	1937	1938	Ростов-на-Дону, тюрьма	Учитель литературы	asfcd/auth/?t=page&num=6286
172	Толстой Л.Н.	Война и мир	NA	1869	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Янов В.В.	Краткие воспоминания о пережитом // Воспоминания крестьян-толстовцев, 1910–1930-е годы	Москва	1989	1989	1935	1936	Воркута, Заполярная тюрьма, камера смертников	Рабочий, эсер	asfcd/auth/?t=page&num=2363
