number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
915	Сакральный текст	Pater Noster	NA	NA	Цитируют	стихи	латынь, литовский, русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Ситко Л.К.	Дубровлаг при Хрущеве	Москва	1997	1997	1959	1960	Мордовия, Дубравлаг	NA	asfcd/auth/?t=page&num=1955
330	Салтыков-Щедрин М.Е.	Господа Головлевы	NA	1880	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5017
1433	Салтыков-Щедрин М.Е.	История одного города	NA	1869	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Обухов Г.В.	Конфискованные письма	Санкт-Петербург	1998	1998	1982	1982	Пермь, тюрьма	Инженер, литератор	asfcd/auth/?t=page&num=10086
1434	Салтыков-Щедрин М.Е.	Помпадуры и помпадурши	NA	1873	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Обухов Г.В.	Конфискованные письма	Санкт-Петербург	1998	1998	1982	1982	Пермь, тюрьма	Инженер, литератор	asfcd/auth/?t=page&num=10086
1997	Салтыков-Щедрин М.Е.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1952	1952	Иркутская обл., Тайшетлаг	Правозащитница	asfcd/auth/?t=book&num=1193
307	Самойлов Д.С.	Баллада о немецком цензоре	Баллада о маленьком цензоре	1961	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Габай И.Я.	Выбранные места	Москва	1994	1994	1970	1970	Кемеровская обл., лагерь	Педагог, поэт	asfcd/auth/?t=page&num=6852
310	Самойлов Д.С.	Пестель, Поэт и Анна	Пестель,Анна и поэт	1965	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Габай И.Я.	Выбранные места	Москва	1994	1994	1970	1970	Кемеровская обл., лагерь	Педагог, поэт	asfcd/auth/?t=page&num=6852
2306	Самойлов Д.С.	NA	NA	NA	Пересказывают	стихи	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Ратушинская И.Б.	Серый – цвет надежды	Лондон	1989	1989	1983	1988	Мордовия, Саранск, ШИЗО в лагере	Поэтесса	asfcd/auth/?t=page&num=975
7	Сандлер А.С., Заболоцкий Н.А., Тедди	Баллада о баланде	NA	1943	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Сандлер А.С., Этлис М.М.	Современники ГУЛАГа	Магадан	1991	1991	1943	1943	Алтайский край, с. Михайловское, Алтайлаг	NA	asfcd/auth/?t=page&num=680
439	Сандлер А.С., Заболоцкий Н.А., Тедди	Баллада о баланде	NA	1943	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1947	1949	Колыма, Дальстрой	NA	asfcd/auth/?t=page&num=2901
